Titolo,Autore,Pagine,Codice
La sfida dell'immigrazione,Stefano Allievi.,167 p.,"4,5 31"
"Lampedusa, porta d'Europa",Aldo Morrone.,162 p.,4.5 36
Lavavetri : il prossimo sono io,Lorenzo Guadagnucci.,186 p.,4.5 24
Le migrazioni,"Dino Barra , Wilma Beretta Prodini.",158 p.,4.5 4
Mannaggia la miserìa,Anselmo Botte.,152 p.,È 4.5 26 IA ERI
Minori al lavoro : il caso. dei minori migranti,"Ires , Save the Children.",,4.5 18 Sr:
Nato in Marocco immigrato in Italia ‘.,.-Arcisolidarietà.,155 p.,"4,5 5"
Nato in Senegal immigrato in Italia,"Arcisolidarietà. Milano : Edizioni Ambiente, 1994.",,"4,5 1"
Negri Froci Giudei & CO. : l'eterna guerra contro l'altro,Gian Antonio Stella.,331 p.,4.5 28
Non-persone,Alessandro Dal Lago.,277 p.,4.5 32
Periferia dell'anima,Valentina Agostinis.,202 p.,4.5 2
Seppellitemi in piedi,Isabel Fonseca.,369 p.,4.5 20 Scansionato con CamScanner
Storia vera e terribile tra Sicilia e America,Enrico Deaglio.,214 p.,4.5 37
Storie di campani all'estero,Francesco Calvanese.,155 p.,4.5 22
Stranieri alle porte,Zygmunt Bauman.,103 p.,4.5 38
Tutti indietro,Laura Boldrini.,217 p.,4.5 34 Scansionato con CamScanner
I miei figli spiegati a un razzista,Gabriella Nobile.,139 p.,"((prefazione di Liliana Segre)). 4,5 42"
Uomini e caporali : viaggio tra i nuovi schiavi nelle campagne del Sud,Alessandro Leogrande.,254 p.,4.5 41 Scansionato con CamScanner POLITICHE DI GENERE 4.6
All'indietro sui tacchi a spillo,"Tania Kindersley , Sarah Vine.",379 p.,4.6 41
Alle soglie dei quarant'anni,Milena Baldi.,222 p.,4.6 10
"Amiche, Compagne, Amanti",Daniela Danna.,321 p.,4.6 4
Ave Mary,Michela Murgia.,116 p.,4.6 31
Baby Boomers,"Rosi Braidotti , (et al).",191 p.,4.6 32
Cosa vuole una donna,Alessandro Bocchetti.,273 p.,' 4.6 1
Cuori di pietra,"Maria Pia Ammirati , (et al).",306 p.,4.6 15
Di cosa parlano le donne quando parlano d'amore,Iaia Caputo.,140 p.,4.4 23
Di mamma ce n'è più d' una,Loredana Lipperini.,,4.6 40 on
Donne,"Elsa:Triozet., (et al).",355 p.,UR 4.6 22
Donne di Mais,Guiomar Rovira.,185 p.,° 4.6 9 i
Donne si diventa,Eleonora Missana.,295 p.,4.6 48
Dove batte il cuore delle donne?,"Assunta Sarlo , Francesca Zajczyk.",151 p.,4.6 33
Dovremmo essere tutti femministi,"Chimamanda Ngozi Adichie. Torino : Einaudi, 2015.",44 p.,4.6 52
-Enciclopedia della donna,Valeria Parrella.,115 p.,4.6 55
Ferite a morte,Serena Dandini.,215 p.,4.6 38 Scansionato con CamScanner
Figlie dell'Islam,Lilli Gruber.,348 p.,4.6 19
Ginocidio,Daniela Danna.,154 p.,4.6 20
Giù le mani dalle donne,Alessia Sorgato.,189 p.,4.6 47
Il male che si deve raccontare : per cancellare la violenza domestica,"Simonetta Agnello Hornby , Marina Calloni.",188 p.,4.6 45
Il paradosso dei sessi,Susan Pinker.,398 p.,4.6 25
-Il Pianeta a misura di donna,"G.H.Brundtland , B.Bhutto.",58 p.,4.6 11
Il prezzo del velo,Giuliana Sgrena.,156 p.,4.6 18
Il silenzio degli uomini,Iaia Caputo.,203 p.,4.6 36
Il suo nome è ... Lydia Pinkham,Pasqualina Mongillo.,163 p.,4.6 5
Io ci sono,"Lucia Annibali , Giusi Fasano.",270 p.,4.6 43
L'amore criminale,"Matilde D'Errico. -. Torino : Einaudi, 2014.",105 p.,4.6 44 RC
[M)-L'Infamia originaria,"Lea Melandri. Roma : Manifesto libri, 1997, -— 117 p. s 21 cm. 4.6 8",117 p.,4.6 8
La bella politica,"Marisa Ombra.-. Torino : SEB 27, 2009.",115 p.,"4.6 28 i,"
La colpa delle donne,Ritanna Armeni;,203 p.,4.6 14
La guerra contro le donne,Marilyn French.,247 p.,4.6 6
La violenza sulle donne e sui minori,"Patrizia Romito , Natalina Folla , Mauro Melato.",319 p.,4.6 50 Scansionato con CamScanner
La voce di lei,"Cecilia Di Marco , Irene Ciravegna.",336 p.,"4,6 17"
Le amiche di Dio : Margherita e le altre,Luisa Muraro.,262 p.,4.6 49
Le donne entrano in scena,Annie Goldmann.,159 p.,4.6 42
Le donne erediteranno la terra,Aldo Cazzullo.,214 p.,4.6 51
Le donne erediteranno la terra,Aldo Cazzullo.,214 p.,"- Milano : Oscar Absolute, 2017. 4.6 54"
Le italiane,Telefono rosa.,248 p.,4.6 29
Malamore,Concita De Gregorio.,169 p.,4.6 24
Meglio sole,Ivana Castoldi.,138 p.,4.6 30
"Non più schiave : Casa Rut, il coraggio di una Comunità",Rita Giaretta.,154 p.,((introduzione di Dacia Maraini)). 4.6 53
Non si gioca con la vita,Eleonora Cirant.,,
0 i “figli o il lavoro,Chiara Valentini.,219 p.,"4,6 35 i"
Presentaziona,Gruppo di lettura San Vitale.,48 p.,"4,6 12 SE"
Risi: esorrisi?,"Carla Colonnelli , (et al).",96 p.,
Ritratti di donne,Pietro Citati.,330 p.,4.6 3
Se questi sono gli uomini,Riccardo Iacona.,257 p.,4.6 39
Sognando parità,Rossella Palomba.,141 p.,4.6 37
Speculum,Luce Irigaray.,348 p.,4.6 7 Scansionato con CamScanner
Streghe,Lilli Gruber.,385 p.,4.6 23
Sui diritti delle donne,Mary Wollstonecraft.,140 p.,((I classici del pensiero libero)). 4.6 27
Svegliatevi bambine,"Pat Carra , Margherita Giacobino.",123 p.,4.6 2
Un gioco da ragazze : come le donne rifaranno l'Italia,Marina Terragni.,186 p.,4.6 34
Una madre lo sa,Concita De Gregorio.,119 p.,4.6 26
Violenza contro le donne,a cura di Franca Bimbi e Alberta Basaglia.,166 p.,4.6 46 Scansionato con CamScanner
Bastava chiedere!,Emma.,186 p.,((introduzione di Michela Murgia)). 4.6 61
Educare al femminismo,Iria Maranon.,309 p.,4.6 56
Elette ed eletti,Patrizia Gabrielli.,193 p.,4.6 62
Gli inganni di Pandora : L'origine delle discriminazioni di genere nella Grecia antica,Eva Cantarella.,85 p.,
Il tempo del secolo,Elettra Deiana.,283 p.,4.6 64
Invisibili,Caroline Criado Perez.,458 p.,4.6 60
L'inferno è una buona memoria,Michela Murgia.,116 p.,4.6 58
Separate in casa,Beatrice Busi.,242 p.,AIN 4.6 59 Scansionato con CamScanner PROBLEMATICHE SOCIALI 4.7
A testa alta,Bianca Stancanelli.,159 p.,4.7 208
Afghanistan anno zero,"Giulietto Chiesa , Vauro.",165 p.,4.7 93
"Africa,oggi",Ambrogio Manzati.,60 p.,4.7 67
Alla fine qualcosa ci inventeremo,Gianluca Nicoletti.,194 p.,4.7 136
Andavamo in piazza Duomo,Marcella Andreoli.,175 p.,4.7 3
Banditi a Partinico,Danilo Dolci.,433 p.,
Basta!,Valentina Colombo.,374 p.,4.7 167
Battesimo di sangue,Frei Betto.,333 p.,4.7 75
Bravi ragazzi,"Peter. Gomez.., Marco Travaglio.",,
Breve storia del sud..i,Giuseppe Campolieti.,360 p.,4.7 141 SA
Buskashì,Gino Strada.,178 p.,"4,7 109"
CGIL :* 100 anni al lavoro,"Claudio Jampaglia , Andrea Milluzzi.",283 p.,4.7 145
Chador,Lilli Gruber.,303 p.,4.7 146
}-Chi parla per i negri?,Robert Penn Warren.,332 p.,4.7 65
Cittadini si diventa,Angelo Augello.,60 p.,4.7 66 Scansionato con CamScanner
Colti sul fatto,Marco Travaglio.,449 p.,4.7 210
Come nasce l'automobile,"Marino Giuffrida , Giancarlo Cereda , Giuseppe Laganà.",77 p.,4.7 55
Come si cura il nazi,"Franco Berardi,",108 p.,4.7 5
Come vivremo?,Walter Greiling.,316 p.,4.7 161 ”
Con i soldi degli altri,Luciano Gallino.,195 p.,4.7 202
Con i soldi degli altri,Luciano Gallino.,195 p.,4.7 202B
Concetta una storia operaia,Gad Lerner.,172 p.,4.7 247
Consumati : da cittadini a clienti,Benjamin R. Barber.,492 p.,4.7 196
Conto Nazionale delle Infrastrutture e dei Trasporti,"Ministero delle Infrastrutture , Ministero dei Trasporti.",520 p.,A.7 133
Contro la giustizia,Renzo. Lombardi.,171 p.,4.7 30
Cos'è il Fondo Monetario Internazionale?,Fernando D'Antonio.,69 p.,
Cos'è il Fondo Monetario Internazionale?,Fernando D'Antonio.,69 p.,4.7 189B
Cosa tiene accese le stelle,Mario Calabresi.,130 p.,4.7 200
"Così in terra, come in cielo",Don Andrea Gallo.,135 p.,4.7 197
Così parlò il Cavaliere,"Sergio Rizzo , Gian Antonio Stella. -'Milano : Bur, 2011.",248 p.,4.7 209 Scansionato con CamScanner
Costituzione Italiana : Diritti e doveri,Antonio di Pietro.,250 p.,4.7 103
Cronache con rabbia,Giampaolo Pansa.,290 p.,4.7 155
Dai nostri inviati in questo secolo,Enzo Biagi.,348 p.,4.7 158
Debito da morire,"Davide Demichelis , (et al).",406 p.,4.7 82
Delitti italiani : risolti o irrisolti,"Andrea Accorsi , Massimo Centini.",574 p.,4.7 138
Detenuti,Melania Rizzoli.,273 p.,4.7 211
Diario : Le parole del 2006,"Antonio Gnoli , Leopoldo Fabiani.",441 p.,4.7 162
Dicono di lei,Enzo Biagi.,210 p.,4.7 153
E' questo l'Islam che fa paura,Tahar Ben Jelloun.,218 p.,4.7 219
Ebano,Ryszard Kapuscinski.,,4.7 80
Ecce Homo,Franco Grillini.,260 p.,"4,7 173 i"
Frontiera,Furio. Colombo.,62 p.,4.7 16 pa
Galateo,Giovanni. Della Casa.,152 p.,4.7 64
Gente di Baghdad,Nuha al-Radi.,276 p.,4.7 106
Gente non comune,Eric J. Hobsbawm.,447 p.,4.7 74
Giorni di storia : il valore dell'eguaglianza,L'Unità.,180 p.,4.7 115
Gli Agnelli,Giancarlo Galli.,344 p.,4.7 108 Scansionato con CamScanner
Gli investimenti alternativi,Marco Liera.,122 p.,4.7 131
Gli zingari e il rinascimento,Antonio Tabucchi.,76 p.,4.7 49
Grandi e inutili,Antonio Fraschilla.,163 p.,4.7 229
}-Ho ucciso Giovanni Falcone,Saverio Lodato.,209 p.,4.7 134
I bambini di Napoli,Don Luigi Merola.,109 p.,4.7 240
I briganti,Rennato Mammucari.,317 p.,4.7 88°
I fondi comuni di investimento,"Francesco Cesarini , Paolo Gualtieri.",118 p.,4.7 132
I fondi pensione,Riccardo Cesari.,146 p.,4.7 190
I giorni dell'ombra,Guido Petter.,183 p.,4.7 35
I nuovi magellani nell'era digitale,Rita Levi-Montalcini.,132 p.,4.7 135
I nuovi schiavi,Kevin Bales.,265 p.,4.7 59 SERIE
I Padrini,Giuseppe Carlo “Marino.,496 p.,RZ 4.7 137 Sa Vr
I padroni del mondo,Enzo Biagi.,498 p.,"DE 4.7 8 i i (M]-I serial killer / Andrea Accorsi, Massimo Centini. - Roma Newton Compton, 2006. - 428 p. ; 22 cm. 4.7 139"
-I valori guida degli italiani,Censis.,436 p.,4.7 46
Il caso Aldrovandi,Alessandro Chiarelli.,300 p.,4.7 113
Il complotto,"Guillaume Dasquié , Jean Guisnel.",109 p.,4.7 104 Scansionato con CamScanner
Il continente desaparecido è ricomparso,Gianni Minà.,350 p.,4.7 119
Il corpo del reato,Carlo Bonini.,318 p.,4.7 246
"}-Il denaro, il debito e la doppia crisi spiegati ai nostri nipoti",Luciano Gallino.,200 p.,4.7 236
Il dio Contratto,Paolo Perulli.,165 p.,' 4.7 207
Il disubbidiente,Francesco Pazienza.,626 p.,4.7 62
Il fatto,Enzo Biagi.,331 p.,4.7 9 .
Il gioco dell'opa,Enrico Cisnetto.,394 p.,4.7 73
Il giorno che a Beirut morirono i panda,Rita Porena.,191 p.,4.7 37
Il giudice e lo*’storico-*,"Carlo Ginzburg. :— Torino Einaudî,.-1991, :=«170%pis 90m. 4.7 25",,
Il grande Califfato,Domenico Quirico.,234 p.,
[M}-Il-:lavoro eil msrcato ;,“Pietro Ichino.,216 p.,REGA 4:73-175
[Mj=I1-,Lavoro non basta: / Chiara Saraceno.,201511395 p.,
[Mj}-Il ‘lavoro non è una merce .: contro la flessibilità,Luciano Gallino.,172 p.,"ASICÀIII= {M}-Il legno storto della giustizia / Gherardo Colombo , Gustavo Zagrebelsky. - Milano : Garzanti, 2017. - 173 p. ; 22 cm. 4.7 249"
[Mj-Il Leonardo,Direzione generale per l'educazione popolare.,400 p.,4.7 152
-Il male italiano,Raffaele Cantone.,195 p.,4.7 227 Scansionato con CamScanner
Il medico dei Lebbrosi,A.Schweitzer.,162 p.,4.7 57
Il medico del mondo : vita e morte di Carlo Urbani,Jenner Meletti.,189 p.,4.7 118
Il mercato della paura,"Carlo Bonini, Giuseppe D'Avanzo.",347 p.,4.7 143
Il nostro corpo in vendita,"Giovanni Berlinguer , Volnei Garrafa.",221 p.,4.7 86
Il processo di sviluppo di un'area sovrapopolata : il mezzogiorno d'Italia,Leonardo Cuoco.,149 p.,4.7 157
Il rancore,Aldo Bonomi.,156 p.,4.7 181 A
Il ratto di Ganimede,Dominique Fernandez.,352 p.,4.7 23
Il razzista democratico,"Fiamma Nirestein. -. Milano Mondadori, 1992.",191 p.,4.1 33
}-Il sogno degli anni '60,Walter Veltroni.,233 p.,i 4.7 45
Il sottosopra,Giorgio Bocca.,301 p.,4.7 10
Il sud,"Francesco Barbagallo. -— Roma : Riuniti, 2001.",271 p.,i ni 4.7 89 Po RERELE:
I1l testo e la voce,Alessandro Portelli.,303 p.,4.7 38
Il viaggiatore spaesato,Giorgio Bocca.,204 p.,A:7 11
Il1 vizio della memoria,Gherardo Colombo,187 p.,"4,7 48"
In Asia,Tiziano Terzani.,440 p.,4.7 201
In nome del figlio,Sergio Zavoli.,298 p.,4.7 156
In viaggio con Erodoto,Riszard Kapuscinski.,256 p.,4.7 124 Scansionato con CamScanner
In viaggio con mio padre,Bice Biagi.,150 p.,4.7 185
Ingannati e traditi,Michael Moore.,,4.7 63
"Io, Marcos",Marcos.,125 p.,4.7 21 |
Io vi maledico,Concita De Gregorio.,186 p.,4.7 214
Islam plurale,Mostafa El Ayoubi.,212 p.,4.7 90
Kamikaze made in Europe,Magdi Allam.,86 p.,4.7 125
Korogocho : Alla scuola dei poveri,Alex Zanotelli.,215 p.,4.7 117
L'aids e le sue metafore,Susan Sontag.,89 p.,4.7 42
L'era dell'accesso,Jeremy Rifkin.,,
L'Espresso 50. anni : 1955-1964,"Francesco Erbani , Nello Ajello.",,
=L'Espresso 50 anni: 1965-1974,"Francesco Erbani , Nello Ajelio.‘-.Romax:Gruppo editoriale l'Espresso S.p.A., 2005.",,
L'Espresso 50 ‘anni : 1975-1984,"Francesco Erbani , Nello Ajello.",,
L'Espresso 50 anni : 1985-1995,"Francesco Erbani , Nello Ajello.",607 p.,4.7 129
L'Espresso 50 anni : 1996-2005,"Francesco Erbani.-, Nelle Ajello.",696 p.,4.7 130 dt
L'età del Caos,Federico Rampini.,327 p.,A.7 233 Scansionato con CamScanner
L'impero di Cindia,Federico Rampini.,371 p.,4.7 166
L'impresa responsabile : Un' intervista su Adriano Olivetti,Luciano Gallino.,145 p.,4.7 239
L'inferno,Giorgio Bocca.,289 p.,4.7 12
L'insicurezza sociale,Robert Castel.,89 p.,4.7 206
L'islam dalla a alla z,Igor Man.,127 p.,4.7 94
L'Islam spiegato ai nostri figli,"Tahar Ben Jelloun. Milano : Bompiani, 2001.",99 p.,4.7 144
L'Italia l'è malada,Giorgio Bocca.,142 p.,4.7 121
L'italiano,Giulio Bollati.,207 p.,4.7 14
L'ultimo laeder,Nunzia Penelope.,158 p.,4.7 100
L'umorismo,"Luigi Montobbio.— Padova : Radar, 1968.- 61 p. è? 22 cm. ne 4.7 70 «Ver DEA",61 p.,ne 4.7 70 «Ver DEA
L'università dei tre tradimenti,‘Raffaele Simone.,176 p.,"4,7 71 NIRO VD"
L'uomo nero ha gli occhi azzurri,Giuliana Covella.,149 p.,4.7 217
L'uomo non deve morire,Enzo Biagi.,233 p.,4.7 171
La bellezza e l'inferno,Roberto Saviano.,252 p.,4.7 193
La buona morte,Andrea Tarabbia.,171 p.,4.7 226
La casta,"Sergio Rizzo , Gian Antonio Stella.",232 p.,4.7 198 Scansionato con CamScanner
La città che parla,Sergio Chiamparino.,166 p.,"4,7 105"
La città dei bambini,Francesco Tonucci.,242 p.,4.7 179
La città del lavoro,Bruno Trentin.,268 p.,4.7 44
)-La città di quarzo,Mike Davis.,206 p.,
La città e il desiderio,Augusto Illuminati.,135 p.,4.7 28
La città profonda,Furio Colombo.,,
La città profonda,Furio Colombo.,1117 p.,4.7 17B
La conquista che non scoprì l'America,Eduardo Galeano.,110 p.,4.7 24
La corruzione spuzza : Tutti gli effetti sulla nostra vita quotidiana della malattia che rischia di uccidere l'Italia,"Raffaele Cantone , Francesco Caringella.",261 p.,4.7 244
La crepa,Lucia Annunziata.,,4.7 47
La cultura del piagnisteo,Robert Hughes.,,
La diga di Roccamena,Lorenzo Barbera.,250 p.,4.7 53
La fabbrica dell'obbedienza,Ermanno Rea.,219 p.,47213
La fame nel mondo spiegata a mio figlio,Jean Ziegler.,138 p.,4.7 72
La fine è il mio inizio,Tiziano Terzani.,466 p.,4.7 149
La folla sceglie sempre Barabba,Elena G. Polidori.,122 p.,4.7 215 Scansionato con CamScanner
La grande fabbrica,Duccio Bigazzi.,288 p.,4.7 76
"La grande fuga : salute, ricchezza e origini della disuguaglianza",Angus Deaton.,381 p.,4.7 232
La lira e la sua storia,Il Mattino.,64 p.,4.7 116
La penna contro la spada,Chiara Allegra.,217 p.,4.7 174
La prima guerra del football,Ryszard Kapuscinski.,237 p.,"4,7 111"
La razza maledetta,Vito Teti.,253 p.,4.7 43
La ribellione delle élite,Christopher Lasch.,211 p.,4.7 29
La schiavitù del velo,Giuliana Sgrena.,127 p.,4.7 87
La sinistra di Dio,Luigi Bettazzi.,75 p.,4.7 6
La società dell'aids,Vittorio Agnoletto.,578 p.,4.7 84
La stagione del fuoco,Andrew Revkin.,381 p.,4.7 182
La vita al tempo della crisi,Amalia Signorelli.,111 p.,4.7 237
"La vita in gioco : Antropologia, letteratura, filosofia dell'azzardo",a cura di Domenico Scafoglio.,358 p.,4.7 245
Le nuove stanze,Indro Montanelli.,,
Le radici del futuro,Thomas L. Friedman.,491 p.,4.7 85
Le sabbie immobili,Giuseppe Pontiggia.,89 p.,4.7 205 Scansionato con CamScanner
Legittimo sospetto,Giancarlo Lehner.,112 p.,4.7 110
Lettera a un figlio su Mani Pulite,Gherardo Colombo.,94 p.,4.7 223
Lettera di un padre omosessuale alla figlia,"Daniele Scalise. — Milano"": Rizzoli; !20089%=514l-po ; 20 cm. 4.7 176",,4.7 176
Libera scienza in libero stato,Margherita Hack.,,4.7 195
Libro bianco 2000,Ministero degli Affari Esteri.,288 p.,4.7 71
Lo sciamano in elicottero,Marco D'Eramo.,243 p.,4.7 50
Lungo cammino verso la libertà,Nelson Mandela.,601 p.,4.7 31
Mamme e papà,Chiara Saraceno.,,4.7 238
Metodi di organizzazione del lavoro,Aldo Fabris.,,
-Metropolis,Giorgio Bocca.,,47-13
Mezzanotte e’ cingue a Bhopal,"Dominique Lapierre , Javier Moro.",380 p.,4.7 971 SI:
Misteri d'Italia...,Massimo Centini.,,. 4.7 140
Napoli fino alle viscere,Jean-Noel Schifano.,109 p.,4.7 40
Napoli siamo noi,Giorgio Bocca.,,4.7 142
"Né vecchi, né giovani:cittadini",Maria Cristina Antonucci.’ (et al).,125 p.,
Nella testa di una Jihadista,Anna Erelle.,257 p.,È: È I R ER I I 4.7 228 Scansionato con CamScanner
Niente : come si vive quando manca tutto,Alberto Salza.,423 p.,"4,7 187"
No Justice no Peace,Andrea Colombo.,93 p.,4.71
Non aspettarmi vivo : La banalità dell'errore nelle voci dei ragazzi jihadisti,"Anna Migotto , Stefania Miretti.",260 p.,4.7 242
Non c'è progresso senza felicità,"Frei Betto , Domenico De Masi.",200 p.,4.7 147
Non tacerò,Luigi Ciotti.,166 p.,4.7 235
-Occhiacci di legno,Carlo Ginzburg.,231 p.,4.7 26
-Occupy Wall Street,"A.J. Bauer , (et al).",221 p.,"4,7 204"
Oltre il duemila,Pier Giorgio Viberti.,319 p.,4.7 99
Pacem in Terris,Agostino Giovagnoli.,219 p.,4.7 102
Pape Satàn Aleppe : Cronache di una società liquida,Umberto Eco.,469 p.,4.7 241
Pappagalli verdi,"Gino Strada. -.Milano.:. Feltrinelli, 2001.",156 p.,"ARA ETo e 4.7 92 PIANTE RONARE,"
Patagonia express,"Luis Sepulveda. Milano : Feltrinelli, 1995.",104 p.,E o 4.7 41 SERIO
Peccati d'amicizia,"Luigi Onori. ,./(et al).",189 p.,asta 4.7 2
Pelle di Leopardo,"Tiziano Terzani. .- Miiano.: Longanesi, 2000.",456 p.,= 4.7 120 È
}-Pelle nera,Donatella Ziliotto.,182 p.,4.7 56
)-Penalisti in toga,Enzo Todaro.,262 p.,4.7 91
}-Pensare il futuro,Domenico Bruni.,255 p.,4.7 183 Scansionato con CamScanner
Perchè dobbiamo fare più figli,"Piero Angela , Lorenzo Pinna.",245 p.,4.7 172
Petrolkiller,"Gianfranco Bettin , Maurizio Dianese.",22 p.,4.7 112
Piccolo Cesare,Giorgio Bocca.,185 p.,4.7 101
Piena disoccupazione,"Massimo Gaggi , Edoardo Narduzzi.",165 p.,4.7 203
Politicamente scorretto,Gianni Minà.,503 p.,4.7 168
Professione biscazziere,Giovanni Bruzzi.,222 p.,4.7 164 i
Proibito parlare,Anna Politkovskaja.,307 p.,4.7 165
Protagonisti del sud,Giuseppe Albanese.,151 p.,4.7 58
Quando andiamo a casa?,Michele Farina.,423 p.,4.7 225
Quando avevo vent'anni.,Ettore De Lorenzo.,,4.7 218
Ragazzo dove vai? .,‘Gaspare Barbiellini Amidei.,,4.7 96
-Rapporto sullo Stato sociale,"Dipartimento di Economia pubblica , CRISS::=:Tortino:: Utet, 2008.",351 p.,4.7 178 :
Regime,"Peter Gomez, Marco Travaglio.",409 p.,4.7 122
Rete padrona,Federico Rampini.,,
Ricordi di un ottuagenario,Ugo Lo Bosco.,299 p.,4.7 79
Riflettendo sulla cronaca,Ambrogio Ietto.,260 p.,4.7 114
Roma Criminale,"Cristiano Armati , Yari Selvetella.",,i 4.7 148 Scansionato con CamScanner
Saggio sulla ricchezza,Ugo Lo Bosco.,136 p.,4.7 69
Sarajevo maybe,Gianfranco Bettin.,156 p.,4.77
Sarajevo voci di un assedio,Anna Cataldi.,169 p.,
Schiavi o bambini?,Ron 0' Grady.,110 p.,4.7 34
Se muore il Sud,"Gian Antonio Stella , Sergio Rizzo. Milano: Feltrinelli, 2015.",315 p.,4.7 230
Segmenti e bastoncini,Lucio Russo.,138 p.,4.7 78
Senti chi parla,Mario Giordano.,301 p.,4.7 170
Smile,Stefano Pistolini.,208 p.,4.7 36
-Sos pedofilia,"Claudio Camarca , Maria Rita Parsi.",95 p.,4.7 83
Storia d'Italia da Mike Bongiorno in poi,Luca Goldoni.,191 p.,4.7 169
Storia della mia gente,"Edoardo. Nesi. .- Milano : Bompiani, 2011.",161 p.,"Ele i 4,1 212 Si ide,"
Storia delle ferrovie,Clementina/Golzio Migliori.,115 p.,reo 4.7 54 ETA SA)
Storie,Gianni Minà.,367 p.,darte i 4.7 32
Stupro,Joanna Bourke.,376 p.,4.7 186
Taccuini americani,Alessandro Portelli.,218 p.,4.7 39
Tecnologia e democrazia,Luciano Gallino.,296 p.,4.7 188
Tempi strani : un nuovo sillabario,lIlvo Diamanti.,153 p.,4.7 220 Scansionato con CamScanner
Tempo libero tempo liberato,Salvatore Comes.,125 p.,4.7 160
Terra di nessuno,Claudio Fava.,155 p.,4.7 22
Tribù bianche perdute,Riccardo Orizio.,279 p.,4.7 81
Tu sei un bastardo,Gad Lerner.,220 p.,4.7 199
Tutto è in frantumi e danza,"Guido Maria Brera , Edoardo Nesi.",179 p.,4.7 248
Un paese troppo lungo,Giorgio Ruffolo.,239 p.,4.7 191
Un piccolo angolo d'inferno,Anna Politkovskaja.,273 p.,4.7 184
-Una cronaca culturale,Marcello Pacini.,346 p.,4.7 52
Unico indizio la normalità,Alessandra Arachi.,126 p.,4.7 4
Viaggio intorno all'uomo,Sergio Zavoli.,259 p.,4.7 159
Villa nuova,Costantino Magliulo.,,4.7 154
Vincere la ‘paura,“Magdi Allam.,,
[M}-Vite in strada,--Rita Occidente Lupo.,,4.7 180
[M}-Viva l'Itaglia,Sergio Zavoli.,,
Zona rossa,"Gino Strada , Roberto Satolli.",190 p.,4.7 231 i ati CIRCALI Rete RAR] Scansionato con CamScanner
La terra dell'oblio,Paolo Mieli.,291 p.,4.7 253
Oceani fuorilegge,Ian Urbina.,551 p.,4.7 252
Sul vulcano,Federico Fubini.,272 p.,4.7 251
